Occupation,Age,Dependents,Income,Additional_Income,Credit_Score,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings
Unemployed,31,1,9240.57,261.48,610.0,2000.0,198.63,1527.4,2000.0,1000.0,1293.64,500.0,1500.0,1000.0,779.71,500.0,5000.0
Retired,63,3,35077.65,1174.81,540.0,7774.34,4770.44,1495.84,2000.0,1860.15,1898.46,1434.23,1816.21,2339.26,1998.03,604.95,6898.09
Salaried Employee,55,3,96204.84,10484.59,676.0,20621.91,8043.65,6078.83,7799.12,6610.85,3787.68,2690.31,5359.97,3844.16,3504.68,1975.71,20575.93
Retired,67,4,51570.15,3862.27,645.0,10845.26,1359.36,3069.92,3737.81,2423.67,2426.39,605.84,2402.68,1708.23,1434.76,854.89,9644.45
Unemployed,23,0,28557.75,656.21,690.0,7027.08,2515.12,1000.0,2000.0,1233.19,940.46,1102.73,2020.39,1000.0,70.7,575.0,6265.37
BusinessOwner,24,0,119321.96,2810.13,607.0,23725.33,11719.56,7390.73,9296.26,7634.15,5187.45,3014.12,6496.85,5214.58,4747.12,2035.89,28760.03
Salaried Employee,56,4,73814.72,4402.11,748.0,12388.96,7584.82,5241.98,6777.61,4431.33,1757.05,1733.37,4194.94,2328.27,2048.04,1239.11,18464.05
Salaried Employee,27,1,66021.5,4023.7,580.0,15319.93,7694.93,4183.36,6484.14,4428.99,2130.96,1980.76,3348.11,2734.87,1649.47,1235.74,18769.48
Salaried Employee,61,3,82309.63,5019.05,787.0,15283.7,9187.37,3353.89,6693.37,5128.84,3782.01,2421.73,3781.3,3009.01,1253.58,1363.08,15106.12
Retired,68,4,20793.44,933.64,510.0,2287.49,2467.5,1000.0,2000.0,1631.31,706.91,500.0,1500.0,1502.28,860.73,500.0,5000.0
Unemployed,47,3,11216.32,532.67,685.0,2000.0,2914.93,1000.0,2000.0,1000.0,552.42,500.0,1500.0,1000.0,440.71,500.0,5000.0
Salaried Employee,50,2,82539.03,4668.21,688.0,14682.18,5975.45,3423.24,6837.39,5137.73,2628.17,2959.24,4893.46,3254.42,1415.59,1771.46,24282.2
Freelancer,28,1,41265.45,2134.16,586.0,7418.23,4883.42,3755.62,4192.69,1734.03,2574.55,673.79,1908.35,2039.22,1555.26,1110.09,7268.96
BusinessOwner,48,2,124808.94,700.68,684.0,25000.0,13420.7,6384.77,9861.05,8519.28,5587.62,4380.51,6633.01,6677.91,3395.53,2357.04,29248.02
Unemployed,33,0,5025.44,228.18,752.0,2000.0,0.0,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,2033.98,501.04,5000.0
BusinessOwner,59,3,175894.49,5799.57,473.0,25000.0,15335.14,9134.08,14406.58,11456.75,6833.43,6335.5,8652.88,6964.89,4878.28,3799.47,36862.58
Unemployed,60,4,20936.72,1120.2,690.0,3211.93,974.76,1000.0,2167.64,1069.32,1352.27,500.0,1705.01,1000.0,323.47,569.96,5000.0
Retired,41,1,38469.03,4220.25,451.0,9842.47,2854.59,1848.52,2284.6,2469.74,2530.0,1226.88,1500.0,1118.87,541.73,815.48,5917.63
Freelancer,30,1,56602.74,3246.15,573.0,12313.35,6790.4,2461.52,4616.46,3000.19,2740.99,752.07,2218.76,1504.11,2592.6,1227.79,5000.0
Unemployed,42,2,5827.14,254.82,780.0,5315.56,0.0,1098.4,2000.0,1000.0,1318.99,500.0,1500.0,1000.0,0.0,500.0,5000.0
BusinessOwner,20,0,72625.35,4970.19,603.0,16885.33,5978.01,4750.96,5773.47,2961.71,2443.84,2293.0,3221.41,2287.29,1671.32,1819.58,13107.77
Retired,65,5,52258.49,3117.42,556.0,12740.28,4308.4,2895.98,3785.29,2291.25,1680.65,1524.67,2781.06,2613.03,2062.62,1445.65,13319.18
Unemployed,56,3,24472.89,1429.26,634.0,2118.84,4125.24,1000.0,2465.8,1209.25,500.0,500.0,1500.0,1000.0,0.0,501.86,5000.0
Freelancer,40,2,91463.52,5683.27,815.0,19820.42,9165.92,4531.84,7115.39,5657.31,3879.42,2270.62,4770.17,4725.11,3181.48,1995.76,15919.11
